,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,69.0,0,0.00023689999943599105,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 2, 0, 0, 2, 0, 1, 2, 2, 0, 1, 1, 2, 0, 2, 1, 1, 1, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 2, 2, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 1, 1, 2, 0, 0, 1, 2, 2, 1, 0, 2, 1, 2, 1, 0, 1, 1, 2, 0, 0, 2, 2, 1, 0, 2, 2, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 1, 2, 2]",0,1000,0
1,1000,16.0,1034,0.26533379999455065,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 2, 1, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 2, 2, 0, 2, 2, 0, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 1, 2, 2, 0, 2, 2, 1, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 2, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 1, 1, 2, 0, 2, 1, 1, 2, 0, 1, 2, 2]",0,1000,0
